id,metro_region,lat,long
AR/ADC,Andacollo,-37.18333435058594,-70.68333435058594
AR/AND,Andalgalá,-27.600000381469727,-66.31666564941406
AR/ALO,Añelo,-38.349998474121094,-68.78333282470703
AR/ANO,Angaco,-31.21666717529297,-68.03333282470703
AR/ASA,Apolinario Saravia,-24.41666603088379,-64.03333282470703
AR/APO,Apostoles,-27.91666603088379,-55.766666412353516
AR/ARN,Aranguren,-32.233333587646484,-60.150001525878906
AR/ARI,Arias,-33.63333511352539,-62.41666793823242
AR/AVO,Aristóbulo del Valle,-27.116666793823242,-54.91666793823242
AR/ARG,Armstrong,-32.766666412353516,-61.599998474121094
AR/ACF,Arrecifes,-34.08333206176758,-60.11666488647461
AR/AYO,Arroyito,-31.41666603088379,-63.04999923706055
AR/ASO,Arroyo Seco,-33.13333511352539,-60.43333435058594
AR/AST,Asturias,-36.16666793823242,-61.88333511352539
AR/AVE,Avellaneda,-34.650001525878906,-58.36666488647461
AR/AVS,Avellaneda,-29.100000381469727,-59.650001525878906
AR/AZU,Azul,-36.78333282470703,-59.86666488647461
AR/BHI,Bahía Blanca,-38.71666717529297,-62.28333282470703
AR/BSB,Bahia San Blas,-40.54999923706055,-62.25
AR/BAJ,Bajo Grande,-30.566667556762695,-66.1500015258789
AR/BHO,Bajo Hondo,-38.766666412353516,-61.900001525878906
AR/BCA,Balcarce,-37.83333206176758,-58.25
AR/BES,Ballesteros,-32.53333282470703,-62.96666717529297
AR/BDR,Banda del Río Salí,-26.83333396911621,-65.16666412353516
AR/BAD,Banfield,-34.75,-58.400001525878906
AR/BAR,Baradero,-33.78333282470703,-59.516666412353516
AR/BAS,Barrancas,-34.0,-68.71666717529297
AR/BAL,Barreal,-31.633333206176758,-69.46666717529297
AR/BTN,Barrio Batan,-38.0,-57.70000076293945
AR/BMS,Barrio Marquez de Sobremonte,-31.383333206176758,-64.16666412353516
AR/BEC,Beccar,-34.766666412353516,-58.900001525878906
AR/BDE,Belén de Escobar,-34.33333206176758,-58.81666564941406
AR/BVL,Bell Ville,-32.61666488647461,-62.70000076293945
AR/BEL,Bella Vista,-34.54999923706055,-58.68333435058594
AR/BVA,Bella Vista,-27.03333282470703,-65.30000305175781
AR/BVC,Bella Vista,-28.5,-59.04999923706055
AR/BVZ,Benavidez,-34.400001525878906,-58.70000076293945
AR/BEA,Bengolea,-33.03333282470703,-63.68333435058594
AR/BJR,Benito Juarez,-37.66666793823242,-59.79999923706055
AR/BER,Berazategui,-34.733333587646484,-58.25
AR/BRN,Bernal,-34.71666717529297,-38.25
AR/BOL,Bombal,-33.45000076293945,-61.33333206176758
AR/BOU,Boulogne,-34.5,-58.56666564941406
AR/BON,Bowen,-35.0,-67.51667022705078
AR/BGO,Bragado,-35.11666488647461,-60.5
AR/BRD,Brandsen,-35.16666793823242,-58.233333587646484
AR/BUE,Buenos Aires,-34.58333206176758,-58.66666793823242
AR/BUU,Burruyacú,-26.5,-64.75
AR/BUR,Burzaco,-34.81666564941406,-34.81666564941406
AR/CAB,Caballito,-34.61666488647461,-58.45000076293945
AR/CSA,Cabo San Antonio,-36.03333282470703,-56.56666564941406
AR/CFY,Cafayate,-26.066667556762695,-65.96666717529297
AR/CAS,Calabacillas,-31.5,-58.13333511352539
AR/CLC,Caleta Córdoba,-45.733333587646484,-67.06666564941406
AR/CMP,Campana,-34.150001525878906,-58.95000076293945
AR/CGO,Campo Grande,-27.21666717529297,-54.96666717529297
AR/CLO,Campo Largo,-26.799999237060547,-60.83333206176758
AR/CQO,Campo Quijano,-24.91666603088379,-65.6500015258789
AR/CRO,Campo Ramón,-27.46666717529297,-55.0
AR/MPO,Campo Salto,-34.28333282470703,-60.233333587646484
AR/CSO,Campo Santo,-24.66666603088379,-65.0999984741211
AR/CVO,Campo Viera,-27.383333206176758,-55.03333282470703
AR/CGA,Cañada de Gómez,-32.81666564941406,-61.400001525878906
AR/CRL,Canada Rosquin,-32.04999923706055,-61.599998474121094
AR/CNL,Canals,-33.54999923706055,-62.88333511352539
AR/CDL,Candelaria,-27.450000762939453,-55.75
AR/CNN,Canning,-34.86666488647461,-58.516666412353516
AR/CAE,Canuelas,-35.03333282470703,-58.733333587646484
AR/CDS,Capilla del Señor,-34.29999923706055,-59.099998474121094
AR/CBZ,Capitan Bermudez,-32.81666564941406,-60.71666717529297
AR/CSN,Capitán Sarmiento,-34.16666793823242,-59.79999923706055
AR/CAA,Carcaraña,-32.849998474121094,-61.150001525878906
AR/CCB,Carlos Casares,-35.61666488647461,-61.349998474121094
AR/CAN,Carmen de Areco,-34.38333511352539,-59.81666564941406
AR/CDN,Carmen Del Sauce,-33.233333587646484,-60.79999923706055
AR/CAO,Carnerillo,-32.91666793823242,-64.03333282470703
AR/ORE,Caseros,-34.61666488647461,-58.53333282470703
AR/CSL,Casilda,-33.04999923706055,-61.16666793823242
AR/CTL,Castelar,-34.650001525878906,-58.63333511352539
AR/CAT,Catinzaco,-29.66666603088379,-67.38333129882812
AR/CTO,Catrilo,-36.400001525878906,-63.41666793823242
AR/CUE,Caucete,-31.649999618530273,-68.28333282470703
AR/CEN,Centenario,-35.83333206176758,-61.43333435058594
AR/CAL,Cerro Azul,-27.633333206176758,-55.483333587646484
AR/CVP,Cevil Pozo,-26.850000381469727,-65.11666870117188
AR/CRA,Cevil Redondo,-26.78333282470703,-65.28333282470703
AR/CSS,Chabás,-33.233333587646484,-61.349998474121094
AR/CCO,Chacabuco,-34.63333511352539,-60.46666717529297
AR/CDC,Chacras De Coria,-33.0,-68.86666870117188
AR/CHA,Chajarí,-30.766666412353516,-57.983333587646484
AR/CHS,Chascomus,-35.56666564941406,-58.016666412353516
AR/CHO,Chilecito,-29.16666603088379,-67.5
AR/CBS,Chimbas,-31.483333587646484,-68.53333282470703
AR/CPY,Chimpay,-39.16666793823242,-66.1500015258789
AR/CVY,Chivilcoy,-34.900001525878906,-60.03333282470703
AR/CST,Cinco Saltos,-38.81666564941406,-68.06666564941406
AR/CPA,Cipoletti,-38.91666793823242,-67.98332977294922
AR/CYB,City Bell,-34.849998474121094,-58.04999923706055
AR/EVA,Ciudad Evita,-34.849998474121094,-58.900001525878906
AR/CIU,Ciudadela,-34.61666488647461,-58.53333282470703
AR/CLN,Classon,-32.45000076293945,-61.28333282470703
AR/CZO,Colazo,-31.91666603088379,-63.400001525878906
AR/COO,Colón,-33.88333511352539,-61.11666488647461
AR/COL,Colón,-32.21666717529297,-58.13333511352539
AR/CON,Concepción,-28.383333206176758,-57.88333511352539
AR/COS,Concepcion de la Sierra,-27.983333587646484,-55.516666412353516
AR/COU,Concepción del Uruguay,-32.483333587646484,-58.233333587646484
AR/CCP,Conceptión,-27.33333396911621,-65.58333587646484
AR/CMG,Contralmirante Martín Guerrico,-39.016666412353516,-67.73332977294922
AR/IQO,Coquimbito,-32.96666717529297,-68.75
AR/COR,Córdoba,-31.399999618530273,-64.18333435058594
AR/COA,Coronda,-31.96666717529297,-60.91666793823242
AR/CSZ,Coronel Suarez,-37.46666717529297,-61.91666793823242
AR/CDA,Costa de Araujo,-32.75,-68.41666412353516
AR/CEO,Crespo,-32.03333282470703,-60.31666564941406
AR/CAZ,Cruz Alta,-33.0,-61.79999923706055
AR/CDP,Cruz De Piedra,-33.03333282470703,-68.80000305175781
AR/CDE,Cruz del Eje,-30.733333587646484,-64.80000305175781
AR/CNO,Cuadro Nacional,-34.61666488647461,-68.28333282470703
AR/UZU,Curuzú Cuatiá,-29.78333282470703,-58.04999923706055
AR/CUT,Cutral-Có,-38.93333435058594,-69.23332977294922
AR/DIX,Daireaux,-36.599998474121094,-61.75
AR/DGU,Del Guazu,-33.900001525878906,-58.86666488647461
AR/ADV,Del Viso,-34.45000076293945,-58.79999923706055
AR/DME,Diamante,-32.06666564941406,-60.650001525878906
AR/DKS,Dock Sud,-34.36666488647461,-58.20000076293945
AR/DSU,Dock Sur,-34.650001525878906,-58.33333206176758
AR/DCU,Don Torcuato,-34.5,-58.63333511352539
AR/DOR,Dorrego,-32.900001525878906,-68.75
AR/ELB,El Bolsón,-27.91666603088379,-65.88333129882812
AR/EHL,El Bolsón,-41.96666717529297,-71.51667022705078
AR/EBO,El Bordo,-24.733333587646484,-65.0999984741211
AR/FTE,El Calafate,-50.266666412353516,-72.05000305175781
AR/JEC,El Carril,-25.08333396911621,-65.46666717529297
AR/EMX,El Maitén,-42.04999923706055,-71.16666412353516
AR/EPA,El Palomar,-34.53333282470703,-58.599998474121094
AR/ELP,El Plumerillo,-32.83333206176758,-68.78333282470703
AR/ETP,El Talar de Pacheco,-34.45000076293945,-58.650001525878906
AR/ETL,El Trébol,-32.18333435058594,-61.71666717529297
